Ticker,Datetime,Open,High,Low,Close,Volume
OPEN,2026-04-08 09:30:00-04:00,4.96,5.0,4.81,4.8501,9609303
OPEN,2026-04-08 10:30:00-04:00,4.86,4.87,4.78,4.8,4010923
OPEN,2026-04-08 11:30:00-04:00,4.8,4.815,4.7595,4.805,2515405
OPEN,2026-04-08 12:30:00-04:00,4.805,4.83,4.73,4.745,1828941
OPEN,2026-04-08 13:30:00-04:00,4.745,4.78,4.68,4.685,1687347
OPEN,2026-04-08 14:30:00-04:00,4.685,4.6969,4.63,4.6465,2413833
OPEN,2026-04-08 15:30:00-04:00,4.64,4.69,4.63,4.63,2366465
OPEN,2026-04-09 09:30:00-04:00,4.61,4.63,4.37,4.375,7465403
OPEN,2026-04-09 10:30:00-04:00,4.375,4.42,4.35,4.3822,4270509
OPEN,2026-04-09 11:30:00-04:00,4.385,4.49,4.38,4.48,4666718
OPEN,2026-04-09 12:30:00-04:00,4.475,4.48,4.42,4.4299,1834124
OPEN,2026-04-09 13:30:00-04:00,4.425,4.44,4.37,4.375,2565676
OPEN,2026-04-09 14:30:00-04:00,4.37,4.38,4.34,4.355,3540995
OPEN,2026-04-09 15:30:00-04:00,4.355,4.37,4.3,4.32,4578786
OPEN,2026-04-10 09:30:00-04:00,4.37,4.48,4.35,4.4583,6398118
OPEN,2026-04-10 10:30:00-04:00,4.455,4.59,4.45,4.515,5138226
OPEN,2026-04-10 11:30:00-04:00,4.51,4.52,4.38,4.405,3165455
OPEN,2026-04-10 12:30:00-04:00,4.408,4.41,4.35,4.35,2231817
OPEN,2026-04-10 13:30:00-04:00,4.355,4.3999,4.34,4.365,1658192
OPEN,2026-04-10 14:30:00-04:00,4.37,4.375,4.335,4.355,2223213
OPEN,2026-04-10 15:30:00-04:00,4.36,4.365,4.3,4.32,3589120
OPEN,2026-04-13 09:30:00-04:00,4.27,4.33,4.12,4.325,8858997
OPEN,2026-04-13 10:30:00-04:00,4.325,4.35,4.26,4.275,3176951
OPEN,2026-04-13 11:30:00-04:00,4.275,4.35,4.26,4.35,1967337
OPEN,2026-04-13 12:30:00-04:00,4.3438,4.37,4.32,4.335,1693609
OPEN,2026-04-13 13:30:00-04:00,4.34,4.35,4.2901,4.305,1996282
OPEN,2026-04-13 14:30:00-04:00,4.31,4.32,4.29,4.3148,1995708
OPEN,2026-04-13 15:30:00-04:00,4.3199,4.38,4.3,4.365,4371902
OPEN,2026-04-14 09:30:00-04:00,4.45,4.53,4.38,4.465,7187743
OPEN,2026-04-14 10:30:00-04:00,4.465,4.58,4.45,4.535,7385311
OPEN,2026-04-14 11:30:00-04:00,4.535,4.58,4.53,4.56,2662124
OPEN,2026-04-14 12:30:00-04:00,4.565,4.59,4.52,4.56,2164621
OPEN,2026-04-14 13:30:00-04:00,4.5599,4.56,4.48,4.4901,1709909
OPEN,2026-04-14 14:30:00-04:00,4.495,4.57,4.495,4.535,1910677
OPEN,2026-04-14 15:30:00-04:00,4.535,4.545,4.5,4.525,2536467
OPEN,2026-04-15 09:30:00-04:00,4.51,4.77,4.49,4.7246,8823901
OPEN,2026-04-15 10:30:00-04:00,4.725,4.76,4.69,4.7297,3352204
OPEN,2026-04-15 11:30:00-04:00,4.725,4.79,4.7,4.765,4876338
OPEN,2026-04-15 12:30:00-04:00,4.765,4.77,4.66,4.7251,3994885
OPEN,2026-04-15 13:30:00-04:00,4.725,4.77,4.71,4.745,2144619
OPEN,2026-04-15 14:30:00-04:00,4.745,4.83,4.74,4.825,3499899
OPEN,2026-04-15 15:30:00-04:00,4.825,4.85,4.81,4.815,2942604
OPEN,2026-04-16 09:30:00-04:00,4.995,5.29,4.95,5.0799,17898533
OPEN,2026-04-16 10:30:00-04:00,5.075,5.21,5.07,5.18,6953608
OPEN,2026-04-16 11:30:00-04:00,5.1801,5.3,5.18,5.245,6354324
